location,date,new_cases,new_deaths,population,aged_65_older_percent,gdp_per_capita,hospital_beds_per_thousand
Afghanistan,28/03/2020,16,1,38928341,2.581,1803.987,0.5
Afghanistan,29/03/2020,15,1,38928341,2.581,1803.987,0.5
Afghanistan,30/03/2020,8,1,38928341,2.581,1803.987,0.5
Afghanistan,31/03/2020,27,0,38928341,2.581,1803.987,0.5
Afghanistan,01/04/2020,25,0,38928341,2.581,1803.987,0.5
Afghanistan,02/04/2020,26,0,38928341,2.581,1803.987,0.5
Afghanistan,03/04/2020,43,0,38928341,2.581,1803.987,0.5
Afghanistan,04/04/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,05/04/2020,35,1,38928341,2.581,1803.987,0.5
Afghanistan,06/04/2020,29,2,38928341,2.581,1803.987,0.5
Afghanistan,07/04/2020,38,0,38928341,2.581,1803.987,0.5
Afghanistan,08/04/2020,30,4,38928341,2.581,1803.987,0.5
Afghanistan,09/04/2020,56,3,38928341,2.581,1803.987,0.5
Afghanistan,10/04/2020,61,1,38928341,2.581,1803.987,0.5
Afghanistan,11/04/2020,37,0,38928341,2.581,1803.987,0.5
Afghanistan,12/04/2020,34,3,38928341,2.581,1803.987,0.5
Afghanistan,13/04/2020,52,0,38928341,2.581,1803.987,0.5
Afghanistan,14/04/2020,58,3,38928341,2.581,1803.987,0.5
Afghanistan,15/04/2020,49,2,38928341,2.581,1803.987,0.5
Afghanistan,16/04/2020,70,2,38928341,2.581,1803.987,0.5
Afghanistan,17/04/2020,10,4,38928341,2.581,1803.987,0.5
Afghanistan,18/04/2020,51,1,38928341,2.581,1803.987,0.5
Afghanistan,19/04/2020,63,0,38928341,2.581,1803.987,0.5
Afghanistan,20/04/2020,88,3,38928341,2.581,1803.987,0.5
Afghanistan,21/04/2020,35,2,38928341,2.581,1803.987,0.5
Afghanistan,22/04/2020,61,1,38928341,2.581,1803.987,0.5
Afghanistan,23/04/2020,84,4,38928341,2.581,1803.987,0.5
Afghanistan,24/04/2020,105,2,38928341,2.581,1803.987,0.5
